,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
Career,,,,,,3.0,0.0,,1996-10-26,,53.8,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,17.0,5.0,6-2,,,,,,,,,,,,,,,,,13.0,29,Josh Adams,,,,,,,,,,AdamJo03,,,,,,,,0.0,58.0,3.4,8.3,7.0,0.4,128,7.5,3,523,4.1,30.8,3,,,0.0,,Career,1.0,,,,13.0,,,,135,,,225,581,,,,,,,,4.3,0.0,
Career,,,,,,0.0,,,1987-09-04,,25.0,,,,,,,,,,,,,,,0,,,,,3.0,,6-3,,,,,,,,,,,,,,,,,13,,Kris Adams,,,,,,,,,,AdamKr00,,,,,,,,0,26,8.7,13.0,2,0.7,,,,,,,0,,,,,Career,,,,,8,,,,2,,,194,26,,,,,,,,13.0,,
Career,,,,,78.0,0.0,0.0,,1988-01-19,,50.0,,,,,,,,,,,,,,,0,,,,,29.0,3.0,6-4,,,,,,0.0,38.0,4.0,,,,,15.0,,,,17,,Kyle Adams,,,,,,,,,,AdamKy00,,,,,,,,0,40,1.4,10.0,4,0.1,,,,,,,0,,,0.0,,Career,1.0,,,,8.0,,,,4,,,250,40,,,,,9.5,,,10.0,,
Career,,,,,,6.0,12,,1995-12-12,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,32.0,9.0,6-0,,,,,,,,,,,,,,,,,,,Matthew Adams,,,,,,,,,,AdamMa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,30,,,,,,,,,,,229,,,,,,,,,,0.0,
Career,,,,,,12.0,,,1990-03-10,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,53.0,21.0,6-7,,,,,,,,,,,,,,,,,,,Mike Adams,,,,,,,,,,AdamMi02,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,,,,,,,,,,,,323,,,,,,,,,,0.0,
Career,,,,,384.0,72.0,226,,1981-03-24,,,,,,,,,,,,,,,,,1.0,13.0,16.0,5.0,,228.0,149.0,5-11,,,30.0,2.0,,0.0,42.0,2.0,,,,56.0,30.0,,,,,,Mike Adams,,,,90.0,,,,,,AdamMi21,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,Career,708,,,,,,,,,,,205,,,,,,21.0,,,,5.0,337.0
Career,,,,,,7.0,23,,1985-06-17,,,,,,,,,,,,,,,,,0.0,1.0,4.0,30.0,,80.0,7.0,5-8,,,3.0,0.0,,,,,,,,36.0,,,,,,,Michael Adams,,,,19.0,,,,,,AdamMi98,,,,,,,,,,,,,,,,,,,,,,,1.0,,Career,154,,,,,,,,,,,178,,,,,,,,,,30.0,53.0
Career,,,,,,4.0,17,,1995-07-24,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,37.0,3.0,6-4,,,0.0,0.0,,,,,,,,0.0,,,,,,,Montravius Adams,,,,3.0,,,,,,AdamMo00,,,,,,,,,,,,,,,,,,,,,,,1.5,,Career,16,,,,,,,,,,,304,,,,,,,,,,0.0,0.0
Career,,,,,254.0,11.0,20,,1988-07-20,,,,,,,,,,,,,,,,,3.0,1.0,2.0,25.0,,78.0,11.0,6-0,,,5,0,,,,,,,,2,,,,47.0,,,Phillip Adams,,,,15,,,,,,AdamPh00,,0.0,227.0,37.0,,,,,,,,,,,,,,,,,,,0.0,,Career,108,,,,,,,,,,,193,,,,,,,,6.1,,25.0,2
Career,,,,,,0.0,1,,1983-01-28,,,,,,,,,,,,,,,,,,,,,,2.0,,6-4,,,,,,,,,,,,,,,,,,,Titus Adams,,,,,,,,,,AdamTi00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,1,,,,,,,,,,,305,,,,,,,,,,,
Career,,,,,,1.0,15.0,,1992-04-11,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,21.0,2.0,6-2,,,,,,,,,,,,,,,,,,,Tyrell Adams,,,,,,,,,,AdamTy00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,19.0,,,,,,,,,,,230,,,,,,,,,,0.0,
Career,,,,,,24.0,96,,1990-01-24,,,,,,,,,,,,,,,,,1.0,3.0,4.0,0.0,,96.0,62.0,5-10,,,4.0,1.0,,,,,,,,90.0,,,,,,,Jahleel Addae,,,,24.0,,,,,,AddaJa00,,,,,,,,,,,,,,,,,,,,,,,4.5,,Career,318,,,,,,,,,,,195,,,,,,,,,,0.0,114.0
Career,,19.5,42.0,,,54.0,,1.0,1983-05-03,,77.0,1.0,,,,,,,,,,,,,,7,0.0,2.0,-2.0,,78.0,60.0,5-11,0.0,,,,0.0,,,,,,,,,22.0,,,73,46,Joseph Addai,,9.5,,,100.0,100.0,1.0,22.0,22.0,AddaJo00,,,,,,,158.3,9,1448,18.6,7.6,191,2.4,1095,14.0,39,4453,4.1,57.1,48,,,0.0,,Career,,,,,248,1.0,,,1286,,,214,5901,3.0,,22.0,0.3,,,,4.6,-2.0,
Career,,,,,36,0.0,,,1993-10-12,,100.0,,,,,,,,,,,,,,,1,,,,,2.0,,5-9,,,,,,0,18,1,,,,,18,,,3,11,4,Bralon Addison,,,,,,,,,,AddiBr01,,0,3,2,,,,0,11,5.5,11.0,1,0.5,1,0.5,0,4,4.0,2.0,0,,,,,Career,,,,,1,,,,2,,,197,15,,,,,18.0,,1.5,7.5,,
Career,,,,,,31.0,86.0,,1987-09-06,,,,,,,,,,,,,,,,,0.0,11.0,4.0,0.0,,126.0,51.0,6-3,,,0.0,0.0,,,,,,,,0.0,,,,,,,Mario Addison,,,,2.0,,,,,,AddiMa00,,,,,,,,,,,,,,,,,,,,,,,55.0,1.0,Career,136.0,,,,,,,,,,,260,,,,,,,,,,0.0,0.0
Career,,,,,,1.0,2,,1997-09-12,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,17.0,,6-1,,,,,,,,,,,,,,,,,,,Olasunkanmi Adeniyi,,,,,,,,,,AdenOl00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,1,,,,,,,,,,,248,,,,,,,,,,0.0,
Career,,,,,,14.0,22,,1983-02-11,,,,,,,,,,,,,,,,,0.0,0.0,4.0,113.0,,53.0,26.0,6-4,,,0.0,0.0,,,,,,,,0.0,,,,,,,Victor Adeyanju,,,,2.0,,,,,,AdeyVi20,,,,,,,,,,,,,,,,,,,,,,,3.0,,Career,109,,,,,,,,,,,270,,,,,,,,,,113.0,0.0
Career,,,,,,4.0,16.0,,1984-10-18,,,,,,,,,,,,,,,,,0.0,2.0,1.0,0.0,,44.0,8.0,6-2,,,,,,,,,,,,,,,,,,,Xavier Adibi,,,,,,,,,,AdibXa99,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,54.0,,,,,,,,,,,220,,,,,,,,,,0.0,
Career,,,,,,3.0,7,,1992-07-21,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,23.0,8.0,5-11,,,0,0,,,,,,,,0,,,,,,,Jude Adjei-Barimah,,,,3,,,,,,AdjeJu00,,,,,,,,,,,,,,,,,,,,,,,2.0,,Career,56,,,,,,,,,,,200,,,,,,,,,,0.0,0
Career,,,,,,2.0,3,,1987-05-16,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,5-11,,,,,,,,,,,,,,,,,,,Spencer Adkins,,,,,,,,,,AdkiSp99,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,12,,,,,,,,,,,246,,,,,,,,,,,
Career,,,,,0,0.0,,,1989-10-12,,,,,,,,,,,,,,,,,,,,,,5.0,,6-5,,,,,,0.0,0.0,1.0,,,,,0.0,,,,,,Daniel Adongo,,,,,,,,,,AdonDa00,,,,,,,,,,,,,,,,,,,,,,,,,Career,,,,,,,,,,,,257,,,,,,0.0,,,,,
Career,,,,,,6.0,19,,1987-01-20,,,,,,,,,,,,,,,,,0.0,1.0,1.0,43.0,,29.0,15.0,5-11,,,1.0,0.0,,,,,,,,0.0,,,,,,,Al Afalava,,,,8.0,,,,,,AfalAl99,,,,,,,,,,,,,,,,,,,,,,,2.0,,Career,54,,,,,,,,,,,213,,,,,,,,,,43.0,0.0
Career,,15.0,15.0,,2674.0,22.0,,1.0,1993-05-24,,59.9,1.0,,,,,,,,,,,,,,5,0,2,0,,71.0,62.0,6-0,0.0,,,,0.0,0.0,92.0,5.0,,,,,27.0,15.0,,4.0,83,16.0,Nelson Agholor,,15.0,,,100.0,0.0,0.0,15.0,15.0,AghoNe00,,0.0,7.0,3.0,,,118.7,18,2515,35.4,11.2,224,3.2,11.0,0.2,0.0,60.0,5.5,0.8,18,,,0.0,,Career,,,,,374,0.0,,,235,,,198,2575,0.0,,15.0,0.2,18.4,,2.3,11.0,0,
Career,,,,,1596,12.0,0,,1995-04-03,,75.0,,,,,,,,,,,,,,,5,1,5,0,,32.0,,5-10,,,0.0,0.0,,1,866,36,,,,0.0,100,,,88,12.0,17,Jamal Agnew,,,,1.0,,,,,,AgneJa00,,3,679,60,,,,0.0,16.0,0.5,5.3,3.0,0.1,4,0.1,0,35,8.8,1.1,0,,,0.0,,Career,22,,,,4.0,,,,7,,,190,51,,,,,24.1,,11.3,7.3,0,0.0
Career,,,,,,0.0,,,1991-02-26,,33.3,,,,,,,,,,,,,,,0,,,,,12.0,9.0,5-11,,,,,,,,,,,,,,,,,12,2,Ray Agnew,,,,,,,,,,AgneRa00,,,,,,,,0,15,1.3,5.0,3,0.3,2,0.2,0,2,1.0,0.2,0,,,,,Career,,,,,9,,,,5,,,242,17,,,,,,,,3.4,,
Career,,,,,,0.0,0,,1994-05-17,,,,,,94.1,34,32,71.0,31,22,1,,,10,4,,,,,,16.0,,6-0,,,,,,,,,,,43,,,,,,,,Roberto Aguayo,,,,,,,,,,AguaRo00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,1,,15,13,,,,,,5,5,207,,,,,,,,,,,
Career,,,,,16.0,4.0,8,,1982-07-07,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,33.0,3.0,6-4,,,0.0,0.0,,0.0,16.0,1.0,,,,0.0,16.0,,,,,,C.J. Ah You,,,,3.0,,,,,,AhYoC.00,,,,,,,,,,,,,,,,,,,,,,,6.0,,Career,33,,,,,,,,,,,265,,,,,,16.0,,,,0.0,0.0
Career,,,,,,4.0,3.0,,1988-08-28,,,,,,,,,,,,,,,,,3.0,0.0,0.0,-41.0,,66.0,,6-4,,,,,,,,,,,,,,,,,,,Danny Aiken,,,,,,,,,,AikeDa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,7.0,,,,,,,,,,,250,,,,,,,,,,-41.0,
Career,,,,,,12.0,2.0,,1989-05-30,,57.3,,,,,,,,,,,,,,,1,0.0,2.0,-2.0,,71.0,28.0,6-2,,,,,,,,,,,,,,,,,48,,Kamar Aiken,,,,,,,,,,AikeKa00,,,,,,,,9,1725,24.3,11.6,149,2.1,,,,,,,9,,,0.0,,Career,5.0,,,,260.0,,,,149,,,216,1725,,,,,,,,11.6,-2.0,
Career,,,,,,7.0,13,,1980-12-14,,51.1,,,,,,,,,,,,,,,0,1.0,2.0,0.0,,95.0,11.0,6-2,,,,,,,,,,,,,,,,,81,,Sam Aiken,,,,,,,,,,AikeSa00,,,,,,,,2,684,7.2,14.3,48,0.5,,,,,,,2,,,0.0,,Career,38,,,,94,,,,48,,,220,684,,,,,,,,14.3,0.0,
Career,,,,,,7.0,22,,1991-06-19,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,93.0,6.0,6-1,,,2.0,0.0,,,,,,,,43.0,,,,,,,Walt Aikens,,,,3.0,,,,,,AikeWa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,63,,,,,,,,,,,200,,,,,,,,,,0.0,43.0
Career,,,,,,0.0,0,,1987-02-04,,,,,,,,,,,,,,,,,,,,,,5.0,,6-1,,,,,,,,,,,,,,,,,,,Victor Aiyewa,,,,,,,,,,AiyeVi00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,4,,,,,,,,,,,219,,,,,,,,,,,
Career,,,,,2985.0,20.0,,,1993-06-15,,72.4,,,,,,,,,,,,,,,8,0.0,2.0,0.0,,45.0,23.0,6-0,,,,,,0.0,20.0,1.0,,,,,20.0,,,,32,71,Jay Ajayi,,,,,,,,,,AjayJa00,,,,,,,,1,419,9.3,6.7,63,1.4,572,12.7,13,2546,4.5,56.6,14,,,0.0,,Career,,,,,87,,,,635,,,223,2965,,,,,20.0,,,4.7,0.0,
Career,,,,,424.0,4.0,7.0,,1987-06-12,,52.1,,,,,,,,,,,,,,,0,1.0,0.0,0.0,,70.0,2.0,6-3,,,,,,0.0,0.0,1.0,,,,,0.0,,,,55,,Seyi Ajirotutu,,,,,,,,,,AjirSe00,,,,,,,,3,424,6.1,17.0,25,0.4,,,,,,,3,,,0.0,,Career,36.0,,,,48,,,,25,,,211,424,,,,,0.0,,,17.0,0.0,
Career,,,,,,6.0,,,1992-04-19,,66.3,,,,,,,,,,,,,,,0,,,,,32.0,15.0,6-4,,,,,,,,,,,,,,,,,53,,Jordan Akins,,,,,,,,,,AkinJo00,,,,,,,,2,643,20.1,12.1,53,1.7,,,,,,,2,,,,,Career,,,,,80,,,,53,,,243,643,,,,,,,,12.1,,
Career,,,,,,2.0,18,,1984-12-04,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,35.0,2.0,6-5,,,0.0,0.0,,,,,,,,0.0,,,,,,,Ikaika Alama-Francis,,,,1.0,,,,,,AlamIk99,,,,,,,,,,,,,,,,,,,,,,,1.0,,Career,30,,,,,,,,,,,280,,,,,,,,,,0.0,0.0
Career,,,,,,53.0,,,1984-11-04,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,120.0,118.0,6-5,,,,,,,,,,,,,,,,,,,Branden Albert,,,,,,,,,,AlbeBr20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,,,,,,,,,,,,314,,,,,,,,,,0.0,
Career,,,,,,3.0,9,,1988-01-29,,,,,,,,,,,,,,,,,,,,,,30.0,2.0,6-5,,,,,,,,,,,,,,,,,,,Alex Albright,,,,,,,,,,AlbrAl00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,33,,,,,,,,,,,251,,,,,,,,,,,
Career,,,,,,17.0,6.0,,1971-05-01,,,,,,,,,,,,,,,,,1.0,0.0,2.0,11.0,,236.0,,6-5,,,,,,,,,,,,,,,,,,,Ethan Albright,,,,,,,,,,AlbrEt20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,18.0,,,,,,,,,,,265,,,,,,,,,,11.0,
Career,,,,,,1.0,0,,1996-11-07,,,,,,,,,,,,,,,,,,,,,,9.0,,6-3,,,,,,,,,,,,,,,,,,,Adonis Alexander,,,,,,,,,,AlexAd00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,4,,,,,,,,,,,205,,,,,,,,,,,
Career,,,,,0.0,7.0,8,,1991-09-30,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,,61.0,1.0,6-2,,,,,,,,,,,,,,,,0.0,,,D.J. Alexander,,,,,,,,,,AlexD.00,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,1.0,Career,41,,,,,,,,,,,233,,,,,,,,0.0,,0.0,
